order_id,product_id,product_name,category,price,quantity,order_date,customer_id,customer_location,total_sales,year,week,day_of_week,month
1,103,Camera,Appliances,795.92,6,2023-02-08 14:46:00,1458,Nottingham,4775.5199999999995,2023,6,Wednesday,2023-02
2,106,Tablet,Accessories,656.43,8,2023-01-30 00:50:00,1343,Bristol,5251.44,2023,5,Monday,2023-01
3,109,Keyboard,Appliances,22.6,7,2023-06-30 05:15:00,1058,Oxford,158.20000000000002,2023,26,Friday,2023-06
4,103,Camera,Electronics,117.72,8,2023-11-11 15:26:00,1130,Liverpool,941.76,2023,45,Saturday,2023-11
5,107,Headphones,Appliances,1182.65,3,2023-06-25 11:55:00,1034,London,3547.9500000000003,2023,25,Sunday,2023-06
6,106,Smartphone,Accessories,541.04,4,2023-11-16 18:53:00,1771,Bristol,2164.16,2023,46,Thursday,2023-11
7,107,Printer,Accessories,84.81,1,2023-12-06 07:19:00,1295,Liverpool,84.81,2023,49,Wednesday,2023-12
8,109,Printer,Electronics,771.53,2,2023-08-31 19:51:00,1014,London,1543.06,2023,35,Thursday,2023-08
9,103,Keyboard,Appliances,50.57,1,2023-04-06 04:10:00,1418,London,50.57,2023,14,Thursday,2023-04
10,109,Headphones,Accessories,1271.8,3,2023-07-18 06:46:00,1032,Sheffield,3815.3999999999996,2023,29,Tuesday,2023-07
11,103,Keyboard,Appliances,624.63,6,2023-01-18 12:58:00,1612,Birmingham,3747.7799999999997,2023,3,Wednesday,2023-01
12,103,Camera,Electronics,1535.71,7,2023-03-25 06:16:00,1563,Leeds,10749.970000000001,2023,12,Saturday,2023-03
13,107,Laptop,Accessories,1771.43,7,2023-04-26 00:19:00,1795,Manchester,12400.01,2023,17,Wednesday,2023-04
14,106,Monitor,Accessories,1230.55,3,2023-03-18 13:56:00,1957,Oxford,3691.6499999999996,2023,11,Saturday,2023-03
15,109,Monitor,Electronics,257.97,4,2023-11-13 04:29:00,1744,Birmingham,1031.88,2023,46,Monday,2023-11
16,103,Headphones,Appliances,33.8,5,2023-06-09 05:36:00,1826,Bristol,169.0,2023,23,Friday,2023-06
17,104,Camera,Accessories,455.79,3,2023-01-28 19:53:00,1386,London,1367.3700000000001,2023,4,Saturday,2023-01
18,102,Smartphone,Appliances,328.8,4,2023-06-06 22:41:00,1996,London,1315.2,2023,23,Tuesday,2023-06
19,107,Monitor,Appliances,1299.07,1,2023-12-01 07:11:00,1202,Nottingham,1299.07,2023,48,Friday,2023-12
20,105,Monitor,Accessories,501.72,7,2023-11-17 16:39:00,1197,Bristol,3512.04,2023,46,Friday,2023-11
21,103,Monitor,Appliances,1036.55,4,2023-02-06 09:03:00,1931,Birmingham,4146.2,2023,6,Monday,2023-02
22,107,Monitor,Electronics,1472.28,6,2023-04-10 10:43:00,1928,Nottingham,8833.68,2023,15,Monday,2023-04
23,107,Laptop,Appliances,820.05,4,2023-09-18 17:05:00,1763,Oxford,3280.2,2023,38,Monday,2023-09
24,102,Keyboard,Accessories,1967.96,3,2023-09-17 22:56:00,1651,Liverpool,5903.88,2023,37,Sunday,2023-09
25,101,Headphones,Appliances,1826.82,2,2023-09-28 02:15:00,1624,Nottingham,3653.64,2023,39,Thursday,2023-09
26,103,Printer,Appliances,1601.59,2,2023-12-26 01:49:00,1152,Manchester,3203.18,2023,52,Tuesday,2023-12
27,104,Keyboard,Accessories,340.05,7,2023-03-05 04:32:00,1276,Leeds,2380.35,2023,9,Sunday,2023-03
28,103,Smartphone,Appliances,763.81,7,2023-06-28 18:07:00,1021,Bristol,5346.67,2023,26,Wednesday,2023-06
29,101,Tablet,Electronics,1955.61,4,2023-09-08 12:32:00,1815,Birmingham,7822.44,2023,36,Friday,2023-09
30,105,Smartphone,Appliances,1183.52,6,2023-11-21 18:40:00,1891,Leicester,7101.12,2023,47,Tuesday,2023-11
31,101,Monitor,Appliances,1874.8,9,2023-11-16 13:31:00,1252,Liverpool,16873.2,2023,46,Thursday,2023-11
32,102,Printer,Accessories,388.79,8,2023-06-26 22:39:00,1734,Bristol,3110.32,2023,26,Monday,2023-06
33,107,Mouse,Appliances,1407.93,5,2023-07-10 05:57:00,1154,Oxford,7039.650000000001,2023,28,Monday,2023-07
34,106,Camera,Electronics,1799.51,3,2023-10-01 10:02:00,1681,Sheffield,5398.53,2023,39,Sunday,2023-10
35,109,Monitor,Electronics,830.42,3,2023-06-23 05:10:00,1019,London,2491.2599999999998,2023,25,Friday,2023-06
36,103,Camera,Appliances,158.81,5,2023-12-03 19:39:00,1091,Manchester,794.05,2023,48,Sunday,2023-12
37,106,Keyboard,Accessories,207.7,4,2023-07-18 07:01:00,1837,Bristol,830.8,2023,29,Tuesday,2023-07
38,105,Camera,Accessories,1064.64,3,2023-06-25 02:51:00,1876,Leeds,3193.92,2023,25,Sunday,2023-06
39,107,Tablet,Accessories,851.13,4,2023-01-21 02:51:00,1116,Sheffield,3404.52,2023,3,Saturday,2023-01
40,101,Mouse,Accessories,884.43,4,2023-09-21 08:16:00,1117,Leicester,3537.72,2023,38,Thursday,2023-09
41,103,Tablet,Accessories,1297.98,9,2023-11-21 17:22:00,1696,Liverpool,11681.82,2023,47,Tuesday,2023-11
42,104,Tablet,Accessories,202.54,7,2023-02-25 05:01:00,1473,Liverpool,1417.78,2023,8,Saturday,2023-02
43,104,Mouse,Appliances,926.18,1,2023-09-08 16:20:00,1905,Oxford,926.18,2023,36,Friday,2023-09
44,105,Monitor,Appliances,1868.4,2,2023-07-31 16:39:00,1257,London,3736.8,2023,31,Monday,2023-07
45,101,Laptop,Appliances,1760.75,6,2023-09-04 05:04:00,1612,Birmingham,10564.5,2023,36,Monday,2023-09
46,102,Laptop,Accessories,1669.36,7,2023-04-16 22:36:00,1034,Sheffield,11685.519999999999,2023,15,Sunday,2023-04
47,105,Mouse,Electronics,158.04,3,2023-01-03 18:27:00,1074,Nottingham,474.12,2023,1,Tuesday,2023-01
48,104,Tablet,Electronics,1520.22,6,2023-06-06 01:12:00,1919,Birmingham,9121.32,2023,23,Tuesday,2023-06
49,105,Keyboard,Appliances,1963.89,7,2023-10-06 16:13:00,1524,Sheffield,13747.230000000001,2023,40,Friday,2023-10
50,109,Smartphone,Electronics,1453.91,3,2023-05-05 03:11:00,1698,Birmingham,4361.7300000000005,2023,18,Friday,2023-05
51,103,Tablet,Electronics,751.95,5,2023-10-24 00:03:00,1098,Leicester,3759.75,2023,43,Tuesday,2023-10
52,109,Camera,Electronics,1084.26,4,2023-08-13 14:30:00,1692,Oxford,4337.04,2023,32,Sunday,2023-08
53,101,Smartphone,Appliances,2045.67,8,2023-05-05 22:48:00,1173,Nottingham,16365.36,2023,18,Friday,2023-05
54,105,Tablet,Accessories,169.35,5,2023-12-26 17:53:00,1338,Nottingham,846.75,2023,52,Tuesday,2023-12
55,106,Camera,Appliances,751.21,3,2023-05-22 14:36:00,1713,Oxford,2253.63,2023,21,Monday,2023-05
56,102,Monitor,Electronics,669.48,4,2023-03-02 08:28:00,1894,Leicester,2677.92,2023,9,Thursday,2023-03
57,109,Headphones,Electronics,1520.58,3,2023-07-22 00:00:00,1933,Liverpool,4561.74,2023,29,Saturday,2023-07
58,105,Smartphone,Electronics,1833.16,2,2023-10-17 07:56:00,1202,Liverpool,3666.32,2023,42,Tuesday,2023-10
